atlas_year,quad_prefix,quad_suffix,sr,percent_conf,night_survey,complete,effort_hr,travel_hr,effort_mi
1995,,,5,80,,,,,
1995,,,6,66,,,,,
1995,,,8,62,,,3,,
1995,,,1,100,,,,,
1995,,,9,100,,,,,
1995,,,7,71,,,,,
1995,,,3,100,,,,,
1995,,,9,77,,,,,
1995,,,3,100,,,,,
1995,,,3,66,,,,,
1995,,,2,100,,,,,
1995,,,6,100,,,,,
1995,4308738,NW,1,100,,,1.5,,
1995,,,6,100,,,,,
1995,,,5,100,,,,,
1995,,,5,100,,,,,
1995,,,4,100,,,,,
1995,,,6,100,,,,,
1995,4208885,CE,7,100,,,,,
1995,4308938,NE,3,100,,,,,
1995,,,2,100,,,,,
1995,,,3,100,,,,,
1995,,,5,100,,,,,
1995,,,4,100,,,,,
1995,,,3,100,,,,,
1995,,,2,100,,,,,
1995,,,2,100,,,,,
1995,,,4,100,,,,,
1995,,,3,100,,,,,
1995,,,11,81,,,,,
1995,,,7,85,,,,,
1995,,,13,53,,,,,
1995,,,5,100,,,,,
1995,4209061,CW,2,100,,,,,
1995,,,3,100,,,,,
1995,4609021,SE,3,66,,,,,
1995,,,2,100,,,,,
1995,4208987,SE,2,100,,,,,
1995,,,3,100,,,,,
1995,4208961,NW,4,75,,,,,
1995,4409173,NW,4,100,,,,,
1995,,,5,100,,,1,,
1995,4408783,CE,5,100,,,,,
1995,,,4,100,,,,,
1995,4408825,NE,4,100,,,,,
1995,4208976,NW,4,100,,,,,
1995,4409286,SE,3,100,,,,,
1995,4508986,CW,4,100,,,,,
1995,4309182,SE,4,100,,,,,
1995,4309182,CE,3,100,,,,,
1995,4309033,SE,14,21,,,,,
1995,4609048,NE,9,55,,,,,
1995,,,6,50,,,,,
1995,4208854,CE,20,45,,,,,
1995,4408918,CW,4,75,,,,,
1995,,,3,100,,,,,
1995,,,19,78,,,,,
1995,,,5,100,,,,,
1995,,,3,100,,,,,
1995,,,5,100,,,,,
1995,4408834,CW,17,100,,,,,
1995,,,7,71,,,,,
1995,4408846,SE,12,41,,,,,
1995,4308788,CE,14,64,,,,,
1995,4208854,SW,15,40,,,,,
1995,4508962,SE,1,100,,,,,
1995,4208874,NW,31,12,,,,,
1995,,,36,55,,,,,
1995,4208854,CE,21,14,,,,,
1995,,,9,22,,,,,
1995,,,6,100,,,,,
1995,,,1,100,,,,,
1995,,,1,100,,,,,
1995,,,1,100,,,,,
1995,,,1,100,,,,,
1995,,,1,100,,,,,
1995,,,1,100,,,,,
1995,,,1,,,,,,
1995,4308833,CW,63,39,N,Y,9.35,0,0
1995,4208871,CE,74,31,Y,N,256,12,370
1995,4508638,SW,89,44,N,N,,,
1995,4508628,NW,24,16,N,N,4,1,12
1995,4308915,CE,61,34,N,N,35.2,3.1,151
1995,4208986,CE,50,6,Y,N,16,9,229
1995,4309046,NE,11,63,N,N,,,
1995,4308823,CE,42,33,N,N,44,0,295
1995,4308854,CE,68,52,N,N,16.5,6,407
1995,4408851,CE,55,14,Y,N,14,0,9
1995,4308846,CE,88,53,N,N,64,3.5,45
1995,4309112,CE,116,39,N,N,,,
1995,4208884,NE,65,47,Y,N,22.5,6.5,228
1995,4308927,CE,64,14,Y,N,7,0,2
1995,,,4,25,,,,,
1995,4408922,CW,3,100,,,15,,
1995,4308832,NW,5,60,,,,,
1995,4308812,CW,1,100,,,,,
1995,,,4,100,,,,,
1995,,,3,100,,,30,,
1995,,,6,83,,,,,
1995,,,9,88,,,3,,
1995,,,9,100,,,3,,
1995,,,8,87,,,2,,
1995,,,9,88,,,2,,
1995,,,1,100,,,,,
1995,4309027,CW,2,100,,,1,,
1995,4309111,SW,3,33,,,,,
1995,,,2,100,,,,,
1995,4609114,CW,3,100,,,,,
1995,,,6,100,,,,,
1995,4409164,NW,9,33,,,,,
1995,4509125,CW,7,100,,,,,
1995,,,2,100,,,,,
1995,,,4,100,,,,,
1995,,,4,25,,,,,
1995,,,9,44,,,3,,
1995,,,8,62,,,3,,
1995,,,5,80,,,2,,
1995,,,9,77,,,20,,
1995,4508721,CW,9,100,,,,,
1995,,,2,100,,,,,
1995,,,9,88,,,,,
1995,4408953,CE,8,100,,,5,,
1995,4408833,SW,2,50,,,2,,
1995,,,6,83,,,5,,
1995,,,5,100,,,7,,
1995,,,6,50,,,,,
1995,4508712,CE,6,50,,,,,
1995,,,4,50,,,,,
1995,,,3,66,,,,,
1995,,,8,50,,,,,
1995,,,9,11,,,,,
1995,,,4,75,,,,,
1995,,,3,100,,,,,
1995,,,3,100,,,0.5,,
1995,,,8,100,,,1,,
1995,4208883,SW,31,41,N,N,15.5,7,160
1995,4408955,CE,91,62,Y,Y,20.25,4.75,127
1995,4408965,CE,53,26,N,N,6.5,1.2,44
1995,4308813,CE,35,2,N,N,8,2,80
1995,4208882,NW,38,42,N,N,26,7.5,109.5
1995,4208882,NE,41,31,N,N,36,8.5,124.1
1995,4308816,CE,37,37,N,N,6,0,150
1995,4308815,SW,32,37,N,N,,,
1995,4308812,CE,24,4,N,N,9.5,1.5,66.7
1995,4308822,CE,44,22,N,N,13.8,7.4,157
1995,4408935,CE,34,11,N,N,13,3,96
1995,4408953,CW,89,53,N,Y,24,4.8,150
1995,4208887,CW,25,12,N,N,1.4,0,0
1995,4208887,NW,2,,N,N,0.2,0,0
1995,4208888,SE,21,33,N,N,0.6,0,0
1995,4308812,CW,38,18,N,N,8,0.5,4
1995,4508868,CE,40,15,N,N,,,
1995,4308938,CE,38,10,N,N,9,14.09,71
1995,4308814,SE,104,26,N,N,25.5,0,0
1995,4308812,CE,46,23,N,N,10,0,0
1995,4208887,SW,23,21,N,N,1.5,16.2,810
1995,4408986,CE,30,50,N,N,7.25,3.75,75
1995,4408985,CW,36,36,N,N,7,0,0
1995,4409032,CE,77,19,N,N,,,
1995,4309022,CE,67,8,N,N,10.5,0,311
1995,4308948,CE,25,12,N,N,10,6,240
1995,4408936,SE,25,64,N,N,,,
1995,4308818,CE,16,100,N,N,32,0,0
1995,4308823,NW,86,33,N,N,6,0,0
1995,4208985,CE,58,18,N,N,7.5,9,84
1995,4408968,CE,86,25,N,N,21.5,6,168
1995,4408967,CE,91,16,N,N,11.5,1.25,50
1995,4409051,CW,71,43,Y,Y,21,2.1,44
1995,4408933,CE,26,23,N,N,24,4.8,224
1995,4408987,CE,39,17,N,N,23,3.6,87
1995,4408943,CE,78,44,Y,Y,47.75,5,300
1995,4409073,CE,31,38,N,N,16.5,5,176
1995,4409062,CE,47,31,N,N,32.5,8.1,90
1995,4408936,CE,62,32,Y,N,,,
1995,4408986,SW,88,29,N,N,41,7.5,280
1995,4408944,CE,50,12,Y,N,12,13.5,90
1995,4408955,SE,69,46,Y,N,20,0,0
1995,4508867,CE,54,27,Y,N,,,
1995,4508878,CE,64,6,N,N,25,0,0
1995,4609262,CE,20,10,N,N,5,5,19.4
1995,4609222,CE,17,11,N,N,6,0,42
1995,4208863,CE,59,25,N,N,14.3,5,260
1995,4208862,CE,51,17,N,N,21.5,5,225
1995,4208768,CE,47,8,N,N,19.5,4.25,136
1995,4208884,CW,42,16,N,N,17.5,10,0
1995,4308818,CW,38,13,N,N,29.5,3,132
1995,4208884,CE,61,26,N,N,22.5,3.25,48
1995,4308927,CE,27,7,N,N,3,1,50
1995,4308953,CE,77,66,N,N,37.5,6.25,312
1995,4308924,CE,31,12,N,N,9.5,1.5,60
1995,4308917,CE,41,14,N,N,13.5,0,0
1995,4308936,CE,50,6,N,N,10.5,12.5,30
1995,4308916,CE,56,21,N,N,21,30.5,220
1995,4308911,CE,20,35,N,N,,,
1995,4308932,CE,45,26,N,N,4,4,8
1995,4308934,CE,39,30,N,N,5,0,20
1995,4408852,SE,27,22,N,N,8,0,20
1995,4308958,CE,51,17,N,N,23.5,0,0
1995,4308933,CE,54,37,Y,N,22,6,272
1995,4308933,CW,55,40,Y,N,18.5,1.5,65
1995,4308944,CE,54,16,N,N,8,14,152
1995,4308936,SE,85,45,Y,Y,64,0,77
1995,4208983,CE,86,47,Y,N,20.5,0,52.5
1995,4208888,CE,17,17,N,N,0.7,0,0
1995,4208982,CE,62,19,N,N,,,
1995,4308954,CE,73,35,N,N,18.33,8.5,150
1995,4208987,NW,50,6,Y,N,29,14,1078
1995,4308915,NE,9,77,N,N,1,0.1,1
1995,4308922,CE,37,13,N,N,,,
1995,4308921,CE,40,47,N,N,15,0,70
1995,4308957,CE,66,25,N,N,11,0.5,63
1995,4308818,CW,48,25,N,N,1,0.25,7
1995,4308923,CW,57,31,Y,N,0,10,0
1995,4308913,SW,40,40,N,N,13,2,32
1995,4308927,NE,34,8,N,N,4,0,20
1995,4308947,CE,66,30,Y,N,,,
1995,4308842,CE,68,33,Y,N,44.5,0.75,222
1995,4509174,CE,64,18,N,N,9,0,29
1995,4509155,CE,43,16,N,N,0,0,0
1995,4309032,SE,77,32,Y,N,0,0,0
1995,4609154,SW,45,17,N,N,0,0,0
1995,4609136,CE,62,19,N,N,25,6,240
1995,4508864,CE,53,33,N,N,,,
1995,4508854,CE,17,,N,N,,,
1995,4208852,CE,66,30,N,N,21.5,2.2,20.5
1995,4208974,NW,70,30,N,N,23.5,8,290
1995,4408841,NE,17,52,N,N,,,
1995,4408914,SE,49,2,N,N,4,2.5,140
1995,4509165,CE,88,25,Y,Y,26.5,0,0
1995,4509165,CE,77,54,Y,Y,,,
1995,4509157,CE,67,20,N,N,8.5,0,0
1995,4509157,CE,34,14,N,N,5,0,0
1995,4509176,CE,51,3,N,N,6,0,0
1995,4509156,CE,39,7,Y,N,24,0,142
1995,4509282,CE,51,23,N,N,,,
1995,4509187,CE,38,23,Y,N,25.5,6.2,294
1995,4609057,CE,74,8,N,N,12,1.5,48
1995,4308832,CE,61,54,N,N,14,3,100
1995,4308832,CE,45,15,N,N,21.5,3,64
1995,4308832,NW,19,10,Y,N,6,0,0
1995,4308833,CE,70,34,N,N,6,0,0
1995,4308833,SE,56,35,N,N,4,0.5,30
1995,4308833,CW,56,48,N,N,,,
1995,4609017,CE,52,7,Y,N,29.2,7,269.2
1995,4609045,CE,62,14,Y,N,10,0.15,2
1995,4609022,CE,54,7,Y,N,10.5,4.5,60
1995,4609038,CE,70,21,Y,Y,33,8.5,184
1995,4609026,CE,49,18,Y,N,17.5,0,0
1995,4609054,CE,35,17,N,N,16,2.5,100
1995,4609048,CE,81,33,N,N,17,2.5,96
1995,4609044,CE,27,3,N,N,13,1.5,54
1995,4609033,CE,20,10,N,N,4.5,1.5,70
1995,4609033,CE,20,5,N,N,13,12,96
1995,4609012,CE,79,36,Y,Y,57,0,0
1995,4609034,CE,40,10,N,N,10,6,323
1995,4609085,CE,73,19,N,N,0,0,0
1995,4508863,CE,36,11,N,N,2,5,0
1995,4508862,CE,3,33,N,N,4,2,180
1995,4609076,CW,23,26,N,N,6,0,0
1995,4508822,CE,17,11,Y,N,0,0,128
1995,4609076,SE,3,33,N,N,1,0,0
1995,4508768,SE,14,100,Y,N,,,
1995,4508847,CE,32,0,N,N,1.5,0,0
1995,4408872,CE,26,0,N,N,6,6,35
1995,4508873,CE,37,2,N,N,5.5,29,2415
1995,4508846,NE,16,12,N,N,0,27,2387
1995,4609044,NW,64,20,N,N,10,0,0
1995,4709014,CE,42,23,Y,N,24,6,200
1995,4408746,CE,42,28,N,N,,,
1995,4609037,NE,76,47,Y,N,,,
1995,4609013,CE,73,19,N,N,20,12,422
1995,4609076,CE,53,26,N,N,6,0,0
1995,4609021,CE,53,5,N,N,5,5,22
1995,4609011,CE,85,27,Y,Y,44,0,0
1995,4308834,NW,44,56,N,N,1.25,2.5,0.25
1995,4308834,CE,11,45,N,N,9,0.5,31
1995,4308833,NE,6,100,N,N,,,
1995,4408726,CE,56,37,N,N,19,0,32
1995,4308871,SW,19,10,N,N,1,3,20
1995,4308767,CE,33,33,N,N,9,1.2,21
1995,4308777,NW,17,0,N,N,7,1.25,38
1995,4308767,NE,31,12,N,N,5.25,0.6,0
1995,4308861,NW,7,0,N,N,4.5,4.5,150
1995,4408726,SE,63,23,N,N,15.5,0,0
1995,4309073,NW,66,51,Y,N,,,
1995,4409013,CE,27,11,N,N,0.5,0,0
1995,4309074,CE,29,37,N,N,1,0,0
1995,4309075,CE,57,19,N,N,2.5,1,0
1995,4409012,CE,36,33,N,N,66,0,21
1995,4308977,CE,63,49,Y,N,22,4.45,192
1995,4308987,SW,72,48,Y,N,24.5,8,390
1995,4308976,CE,88,43,Y,N,20,4,210
1995,4308987,CE,66,63,Y,N,20,4,200
1995,4408927,CE,93,62,Y,Y,32,7.8,400
1995,4408926,CE,80,55,Y,N,28,7.8,403
1995,4408918,CE,70,54,Y,N,31,5.5,270
1995,4308966,CE,78,67,Y,N,20.5,7.8,390
1995,4408916,NE,74,48,Y,N,25,7,330
1995,4408917,CE,69,46,Y,N,28,8,395
1995,4308986,CE,71,50,Y,Y,21,4.3,208
1995,4308988,CE,75,50,Y,N,22,7.2,360
1995,4308977,NW,84,52,Y,N,19,5,236
1995,4208984,CE,42,30,N,N,15,0.5,85
1995,4309075,NW,14,78,N,N,0.8,0,0
1995,4309086,CE,87,51,Y,N,42,1,196
1995,4409022,SE,15,73,N,N,57,25.5,186
1995,4409023,CE,47,17,N,N,4.5,1.5,0
1995,4308887,SE,54,22,N,N,1,1,40
1995,4409016,CE,78,57,Y,N,51,12.5,384
1995,4409015,CE,63,42,N,N,19,0.9,169
1995,4409018,CE,51,25,N,N,6,3,129
1995,4309086,NE,93,54,Y,Y,41,0,359
1995,4309085,CE,68,25,N,N,4.4,0,0
1995,4409014,CE,75,14,N,N,5,0,0
1995,4308968,CE,46,34,N,N,31.5,49,489
1995,4408831,CE,46,19,N,N,6,10,50
1995,4508722,SW,81,16,Y,N,55,0,150
1995,4508711,CW,3,100,N,N,,,
1995,4508712,CE,57,15,N,N,18.5,5,286
1995,4508713,CE,54,18,N,N,7.5,0,47
1995,4408783,CE,40,7,N,N,6,1.5,30
1995,4408773,NE,53,11,N,N,26,6,300
1995,4408773,NE,37,5,N,N,4,0,0
1998,4308816,CE,4,75,N,Y,2,1,48
1995,4408878,CE,34,14,N,N,13.5,1.25,84
1995,4308962,CE,4,,N,N,0.25,1,38
1995,4308961,CE,10,0,N,N,0.5,1,35
1995,4508983,CE,108,45,Y,N,,,
1995,4608914,CE,66,40,N,N,17,3,174
1995,4508981,CE,53,20,N,N,0,0,0
1995,4408746,SE,7,28,N,N,,,
1995,4308864,CE,25,44,N,N,7.5,0,40
1995,4608913,CW,57,19,N,N,,,
1995,4608912,CW,44,6,N,N,1,0.33,12
1995,4308983,SE,100,40,Y,N,28,8.5,365
1995,4308983,CE,84,40,Y,N,59,10,730
1995,4308965,CE,33,6,N,N,1,1.75,94
1995,4308982,CE,58,10,N,N,3.75,1.5,64
1995,4508958,CE,23,4,N,N,1,1.25,50
1995,4508957,CE,74,10,N,N,10.5,2.25,88
1995,4509151,CE,53,11,Y,N,29.75,0,0
1995,4509152,CE,7,0,N,N,2,2,50
1995,4509181,CE,57,35,N,N,14,25.75,1470
1995,4609115,NE,32,15,N,N,3,5,120
1995,4609115,CE,54,7,N,N,4.5,8,256
1995,4509072,CE,12,,N,N,3,4,128
1995,4609112,CE,49,6,N,N,9,0,0
1995,4609112,NW,26,15,N,N,6,0,0
1995,4509084,CE,28,25,N,N,5,2,40
1995,4509143,NW,49,12,N,N,5,0,0
1995,4509143,CE,14,21,N,N,6,1.5,60
1995,4509064,CE,45,15,N,N,17,1,16
1995,4508836,CE,88,47,Y,N,57,0,10.5
1995,4508768,CE,77,15,Y,N,26,12,990
1995,4508758,CE,75,2,Y,N,17,17,449
1995,4408871,CE,40,25,N,N,9.5,0,79.9
1995,4509172,CE,19,10,N,N,3.5,7,336
1995,4408931,CE,84,11,N,N,19,2.4,299
1995,4508887,NW,5,100,N,N,,,
1995,4508981,CW,10,60,N,N,,,
1995,4308871,CE,121,44,N,N,34,39,377
1995,4308767,NE,76,18,N,N,,,
1995,4508886,NW,12,100,N,N,,,
1995,4308777,CE,62,16,N,N,13,3,86
1995,4308861,CE,93,37,N,N,41.75,2.5,222
1995,4408727,CE,77,59,Y,N,44,0.91,35
1995,4608911,SW,22,59,N,N,,,
1995,4508876,CW,1,100,,,,,
1995,4608914,NW,7,100,N,N,,,
1995,4508974,CE,71,4,Y,N,19,9,378
1995,4408816,CE,29,10,N,N,5,2,52
1995,4609037,CE,54,50,Y,N,13,1,28
1995,4609018,CE,32,,N,N,3,1.5,30
1995,4709014,SW,43,25,N,N,7,0,0
1995,4408826,NE,66,33,Y,N,18,2.5,141
1995,4408824,NW,39,17,N,N,,,
1995,4308882,NW,100,43,Y,N,24,3.2,9.2
1995,4408835,CE,87,32,N,N,37,5,271
1995,4408836,CE,69,23,N,N,11.5,3,139
1995,4308882,SW,43,6,Y,N,14.5,9,450
1995,4408856,CE,93,36,N,N,73.75,21,1050
1995,4408811,CE,63,17,N,N,10,3,55
1995,4308834,CE,34,32,N,N,,,
1995,4308834,CE,46,52,N,N,15.5,0,0
1995,4308843,CE,62,48,N,N,40,0,0
1995,4308884,SW,5,,N,N,3,0.5,6
1995,4308884,CW,26,46,N,N,7,8.5,17
1995,4608924,CE,92,58,N,N,,,
1995,4508961,CE,31,9,N,N,4,7,126
1995,4508986,CE,34,5,N,N,13.5,0,111
1995,4608926,CE,59,16,N,N,,,
1995,4508982,CE,50,46,N,N,12.5,1.65,80
1995,4508972,CE,89,60,Y,N,29.25,4.75,143
1995,4508973,CE,52,7,N,N,19,6,400
1995,4509071,CE,34,8,N,N,27,10.5,507
1998,4208884,CE,30,76,Y,Y,19,2.31,28
1995,4508628,NW,4,100,N,N,5,20,0
1995,4508887,CE,9,100,N,N,,,
1995,4508876,CW,9,100,N,N,,,
1995,4508888,CE,61,29,N,N,9.75,9,212.8
1995,4508887,CE,57,19,N,N,18.5,8,129
1995,4609114,CE,32,25,N,N,2.5,0.5,20
1995,4509062,CE,14,14,N,N,5.5,1.5,48
1995,4508967,CE,63,17,Y,N,12,3.25,128
1995,4408865,CE,86,23,N,N,47.5,0,984
1995,4508887,CE,53,13,N,N,32,6.36,28.2
1995,4608911,CE,89,14,N,N,29,0,25
1995,4509276,CE,55,25,N,N,6,0,0
1995,4308981,SW,53,1,Y,N,2.5,0,0
1995,4308981,CW,62,12,N,N,5.5,0.75,29
1995,4308981,SE,51,21,N,N,4.5,1,25
1995,4308981,CE,73,5,Y,N,8.5,2.5,89
1995,4308888,SE,51,21,N,N,4,0,0
1995,4308862,CE,80,25,N,N,7,0,53
1995,4408757,SW,44,45,N,N,,,
1995,4208855,SE,69,36,N,N,,,
1995,4208855,CE,55,10,N,N,18.75,5.75,220
1995,4308888,CE,68,22,N,N,15,2.5,50
1995,4408841,CE,52,34,N,N,14,0,0
1995,4208855,CE,8,62,N,N,,,
1995,4208857,CE,47,31,N,N,38.75,3,204
1995,4308928,CE,7,71,N,N,,,
1995,4209062,CE,25,12,N,N,4,0,6
1995,4209061,SE,29,31,N,N,9,0,8
1995,4209061,SW,10,10,N,N,2,0,0
1995,4209061,NW,23,26,N,N,5,5,0
1995,4209061,CW,25,24,N,N,9,0,20
1995,4209182,CE,59,3,N,N,13,0,0
1995,4208968,CE,15,13,N,N,2,0,25
1995,4208958,NE,8,100,N,N,,,
1995,4208958,CE,14,0,N,N,4,3,18
1995,4509226,CW,1,0,,,,,
1995,4409036,CE,69,24,Y,N,55.5,58,2640
1995,4508758,NW,45,,N,N,0.5,0,0
1995,4508758,CE,45,,N,N,0.5,0,0
1995,4508757,CW,40,,N,N,0.5,0,0
1995,4508757,SW,34,,N,N,0.5,0,0
1995,4508747,NW,30,,N,N,0.25,0,0
1995,4508748,NE,38,,N,N,0.5,0,0
1995,4508748,CE,15,,N,N,0.25,1,40
1995,4508863,SE,38,2,N,N,0.5,0,0
1995,4508853,SW,32,,N,N,0.5,0,0
1995,4508853,SE,28,,N,N,0.5,0,0
1995,4508852,SW,35,0,N,N,0.5,0,0
1995,4508852,SE,34,,N,N,0.5,0,0
1995,4308928,CE,80,26,Y,N,21,8,367
1995,4209051,CE,54,12,Y,N,6,0,0
1995,4208978,CE,71,9,N,N,18.5,12,332
1995,4208978,NE,38,18,N,N,11.5,3,60
1995,4208964,NE,27,,N,N,4,1.5,60
1995,4208971,CE,94,47,N,N,39,0,38
1995,4408765,CE,96,26,Y,N,37,16.5,618
1995,4408852,SE,52,15,N,N,8,0,0
1995,4508722,SE,68,32,Y,N,,,
1995,4408852,CE,76,34,Y,N,31,5,175
1995,4408745,CE,13,15,N,N,4,0,0
1995,4508844,CE,49,8,N,N,4,27,2389
1995,4508865,CE,48,8,N,N,5.5,27,2389
1995,4508845,CE,67,10,N,N,6.3,28.59,2429
1995,4609156,NW,62,20,N,N,,,
1995,4609241,CE,59,5,N,N,6,6,76
1995,4609157,CE,61,13,N,N,6,3.75,35
1995,4408881,CE,90,57,Y,N,,,
1995,4408962,CE,47,12,N,N,6,0,0
1995,4408847,CE,68,70,N,N,11.15,0,10
1995,4508877,CE,61,6,N,N,16,5,235
1995,4408913,CE,25,4,N,N,1.25,3,60
1995,4408923,CE,42,2,N,N,1.5,3.5,60
1995,4408922,CE,77,53,Y,Y,90.25,26,1170
1995,4509276,CE,61,21,Y,N,5,0,0
1995,4509272,CE,74,9,N,N,23,0.7,72
1995,4409126,CE,41,2,N,N,5,1.5,41
1995,4409147,CE,45,0,N,N,16.5,28.5,1063
1995,4409114,CE,37,51,N,N,10,3,162
1995,4409124,CE,38,13,N,N,19,16,350
1995,4409124,SW,40,5,N,N,8.5,9,150
1995,4409156,CE,57,19,Y,N,25,2.5,100
1995,4409166,CE,36,2,N,N,7,1.5,60
1995,4309045,NE,84,25,Y,N,15,1,11
1995,4308852,NE,86,29,N,N,8,0,6.5
1995,4309044,SW,36,22,N,N,9,0,0
1995,4208967,NW,71,54,Y,N,,,
1995,4309026,CE,43,0,N,N,5,10,25
1995,4309032,CW,78,39,Y,N,15.5,16.5,55
1995,4509128,CE,53,22,Y,N,,,
1995,4409183,NW,45,20,N,N,0,0,0
1995,4508874,CE,47,17,N,N,5,28,2404
1995,4508883,CE,104,38,Y,N,70.5,0,0
1995,4409188,CE,79,22,Y,N,41.5,49.5,211
1995,4409185,SW,36,47,N,N,62,0,0
1995,4409165,CW,67,31,Y,N,,,
1995,4308852,CE,96,39,Y,N,10.5,0,46.2
1995,4309025,CE,52,7,Y,N,10.25,0,150
1995,4208964,CE,55,0,N,Y,12,2.25,90
1995,4208952,CE,41,9,N,N,11,1.49,67
1995,4208875,CE,40,35,Y,N,32,4.5,90
1995,4209065,CE,67,8,N,N,32,0,302
1995,4208878,CE,47,6,N,N,14.5,2,76
1995,4608818,CE,60,20,N,N,20,3.75,85
1995,4508984,CE,74,18,Y,N,11,3,137
1995,4409167,CE,44,4,N,N,11.5,2.75,115
1995,4408718,NW,52,11,N,N,5,1,40
1995,4408718,CE,36,16,N,N,5,2,53
1995,4409111,CE,27,11,N,N,10.2,3.9,116.3
1995,4408778,NE,63,65,Y,N,5,0,81
1995,4509088,SW,45,13,N,N,9.5,0,0
1995,4509088,CE,56,1,N,N,11,8.25,340
1995,4509081,CE,57,5,N,N,10,1.5,120
1995,4509131,CE,60,25,N,N,21,4.25,124
1995,4309044,CE,42,21,Y,N,14,0,0
1995,4509026,CW,17,5,N,N,3,2,0
1995,4509021,CE,80,35,Y,Y,40.5,10.5,532
1995,4309035,SE,47,27,N,N,6,6,24
1995,4308887,NW,63,38,N,N,3.5,2,96
1995,4409165,CE,43,18,N,N,0,0,0
1995,4409173,CE,76,18,N,N,8,4.5,195
1995,4409161,NW,22,9,Y,N,8,0,0
1995,4409161,CE,4,0,Y,N,3,1,30
1995,4309044,NE,71,40,N,N,14,0,10
1995,4309015,SE,83,39,N,N,24,0,0
1995,4209062,NE,63,20,N,N,21,0,28
1995,4408738,CE,70,11,N,N,8,5,250
1995,4409112,CE,23,4,N,N,8,6,231
1995,4309172,CE,29,13,N,N,28,3.5,84
1995,4308918,CE,80,41,N,N,20,7,433
1995,4408912,CE,6,,N,N,1,1,100.5
1995,4408912,NW,42,23,N,N,14,12.5,471.1
1995,4509013,SW,44,43,N,N,,,
1995,4409084,CE,40,17,N,N,9,4.5,135
1995,4409074,CW,8,62,N,N,0,0.75,0
1995,4509034,CE,38,0,N,N,6.5,2,110
1995,4309037,CE,35,8,N,N,9,1.75,42
1995,4309028,CE,82,37,N,N,12,3,120
1995,4309111,CE,75,48,N,N,11,1.75,177
1995,4508916,CE,46,65,Y,N,18,9.75,63
1995,4408977,CE,59,25,N,N,7,0,8
1995,4308877,NW,35,31,N,N,9.5,11.5,75
1995,4509142,CE,69,11,N,N,,,
1995,4409174,CE,18,16,N,N,,,
1995,4408815,NE,24,70,N,N,,,
1995,4408815,SE,30,83,N,N,,,
1995,4408815,SW,39,46,N,N,5,3,26
1995,4408757,SW,44,34,N,N,,,
1995,4309048,CE,51,60,N,N,37,2.5,147
